season,draftorder,playerId,,,
2020,1,1,,,
2020,2,7,,,
2020,3,3,,,
2020,4,2,,,
2020,5,10,,,
2020,6,6,,,
2020,7,9,,,
2020,8,10,,,
2020,9,4,,,
2020,10,8,,,
2019,1,8,,,
2019,2,4,,,
2019,3,9,,,
2019,4,7,,,
2019,5,2,,,
2019,6,6,,,
2019,7,10,,,
2019,8,5,,,
2019,9,1,,,
2019,10,3,,,
2018,1,4,,,
2018,2,3,,,
2018,3,5,,,
2018,4,6,,,
2018,5,10,,,
2018,6,2,,,
2018,7,7,,,
2018,8,8,,,
2018,9,1,,,
2018,10,9,,,
2017,1,6,,,
2017,2,10,,,
2017,3,8,,,
2017,4,9,,,
2017,5,4,,,
2017,6,5,,,
2017,7,3,,,
2017,8,1,,,
2017,9,7,,,
2017,10,2,,,
2021,1,6,,,
2021,2,2,,,
2021,3,8,,,
2021,4,4,,,
2021,5,9,,,
2021,6,1,,,
2021,7,7,,,
2021,8,5,,,
2021,9,3,,,
2021,10,10,,,
